Filename,Transcript
d1195-T843,ich habe beim schiessen habe ich gewöhnlich habe die augen
d1195-T845,hat gesaill du musst am schuss nachlugen ni nicht die augen zugedrucken jaja ist gut und recht
d1195-T846,wo ich kinderleben mich noch nie gehabt habe habe ich immer wollen hauptmann werden habe immer gesagt ich will einmal hauptmann werden
d1195-T847,wo sie da so weit gewesen ist dann hat man nichts mehr wollen wissen von hauptmann
d1195-T848,wann ist das passiert
d1195-T849,kinderlähme ist gewesen mit neun jahre da bin ich
d1195-T85,hingegen die anderen sind so klein
d1195-T850,das ist auch noch interessant ich bin
d1195-T851,die kinderleben mich das ist etwas gewesen
d1195-T852,ich habe müssen
d1195-T853,im keller unten most abfülle in in
d1195-T854,in flaschen ihnen
d1195-T855,und da ist nass gewesen da ist natürlich etwa wieder ein klein most nebenaushin gelaufen ist nass gewesen und ist auch kalt gewesen
d1195-T856,ist im oktober gewesen da habe mich verkältet und habe dann fieber übergekommen zu nacht
d1195-T857,hirn hirnhautentzündung oder weiss ich kopfweh natürlich auch
d1195-T858,ist über sonntag gegangen am sonntag habe ich pf ist das kopfweh zurück und dann bin ich aufgestanden
d1195-T859,paar schritt gelaufen und dann gehen in um
d1195-T86,wir haben einen gehabt von
d1195-T860,dann bin ich wieder aufgestanden
d1195-T861,wieder ein paar schritt gelaufen gehen ich wieder um einfach plötzlich zusammengesackt
d1195-T862,dann bin ich ins bett
d1195-T863,und da ist fertig gewesen von dort weg ist fertig gewesen da habe ich überhaupt nicht mehr können
d1195-T864,aufstehen
d1195-T865,und zwar auch nichts kopf kein kopfbewegung machen e keine hand bewegung
d1195-T866,da habe ich dann mutter hinten gerufen sie soll mich auf die andere seite legen dann wieder auf die seite getragen und so
d1195-T867,wo der doktor ist gekommen zuerst hat er gar nicht gewusst was was das ist das das hat man nicht gekannt da da
d1195-T868,dann ist man miserabel und dann haben sie mich ein spital hat mich der vater
d1195-T869,und dann hat sie
d1195-T87,für griechisch das ist ein interessanter gewesen dann hat mehr verzählt von
d1195-T870,haben sie mich untersucht dort oben haben mich gerade so in ein totenzimmer inhingetan
d1195-T871,er könne warten darauf dann buben leben nicht meine lange
d1195-T872,das das geht gegen ende
d1195-T873,ist aber nicht gegen ende gegangen ich habe ein leben noch
d1195-T874,leben noch heute noch gerne
d1195-T875,und
d1195-T876,und dann ist dann der vater
d1195-T877,ist und ist nacht worden und dann hat er gesagt ja jetzt muss er aber heim
d1195-T878,könne er nicht mehr länger warten
d1195-T879,ist er heim und dann haben sie mich in ein absonderungshaus getan und haben mich dort lassen liegen
d1195-T88,vom ersten weltkrieg
d1195-T880,haben nichts können machen mit mir sie haben man hat gar nicht recht gewusst was sollen wir auch einfach mit denen leuten
d1195-T881,und dann haben sie
d1195-T882,haben sie mich in die medizin zwei getan
d1195-T883,und in der haben sie angefangen mit elektroschock und wasser annw-wendigen
d1195-T884,hätten sie das am anfang gemacht wäre es wahrscheinlich besser aushingekommen
d1195-T885,aber sie haben nichts anderes gewusst und da habe ich wieder müssen
d1195-T886,lehre laufen ich bin etwa drei monate in dem spital enen gelegen da
d1195-T887,die pflege
d1195-T888,ist eine schwester gewesen
d1195-T889,ein ältere schwester
d1195-T89,wie sie in den deutschen
d1195-T890,wir haben einander
d1195-T891,wir sind etwa unserer drei oder vier
d1195-T892,kinderlähmung
d1195-T893,einen ist über vierzig gewesen
d1195-T894,der ist zwar noch besser daran gewesen ich bin ich bin so
d1195-T895,es ist dann so langsam kommen aber
d1195-T896,wir haben einander müssen aushelfen ich in dem spital
d1195-T897,vom seerweise haben ein zu mittag geholt und zu nacht und das ist in wieder aushinträgt und
d1195-T898,das ist also nichts
d1195-T899,und da ist der gegen der weihnach zugegangen ich bin im oktober eingeliefert worden also oktober und
d1195-T9,und ein ein sohn ist ein pfarrer gewesen zu weggis oben
d1195-T90,deutschen schützengraben innen gehockt seien
d1195-T900,und gegen gegen mitte weihnacht zu
d1195-T901,habe ich einfach gesagt ich will heim ich will heim ich habe lange zeit ich will heim
d1195-T902,aber wo wird therapie weiter gemacht in der station sampach ist nirgends
d1195-T903,hat man das überhaupt nicht kennt und
d1195-T904,was soll man jetzt angefangen mit dem burschen
d1195-T905,ja nur es ist dann
d1195-T906,ich habe dann wieder so können ein klein laufen
d1195-T907,nicht weit aber
d1195-T908,und der bruder hat mich dann auch mit einem ch leiterkärrlei etwa auf sempach ihnen
d1195-T909,genommen und wieder heimgeführt
d1195-T91,mit den franzosen zusammen bis wieder
d1195-T910,das ist noch einigermassen gut gegangen
d1195-T911,und das ist dann wieder so klein kommen also ich habe dann auf alle fälle
d1195-T912,ob körperlich obendurchhin ist gut gewesen
d1195-T913,ist wieder gut geworden
d1195-T914,es hat sich dann nur auf die link
d1195-T915,auf die recht seite abhin
d1195-T916,die rechte seite ja hat
d1195-T917,ist das bei gelähmt gewesen
d1195-T918,und das hat man dann müssen operieren
d1195-T919,weil es eine klumpfuss gegeben hat
d1195-T92,feuer
d1195-T920,hat man dann müssen das
d1195-T921,die sehe die sehen erweitern
d1195-T922,und das ist gut gegangen wieder
d1195-T923,mit zwölf jahren mit neunzehn jahren ist das
d1195-T924,ist es halt wieder durch das wachstum ist das halt wieder
d1195-T925,ist der klumpfuss wieder kommen da hat man es nochmal operiert
d1195-T926,und dieses ist nicht gut gegangen das ist der operateur ist gar nicht zufrieden gewesen es hat geheitert und
d1195-T927,und er hat schon geredet von amputation wenn das nicht besser werden
d1195-T928,abgehauen wird da nichts
d1195-T929,und zum glück nicht
d1195-T93,alarm geben habe und dann sind sie auseinander gesprungen und haben wieder unfeinander geschossen
d1195-T930,ich bin nachanter
d1195-T931,habe ich wanderungen gemacht in den bergen und bis wie gesagt viertausender gemacht
d1195-T932,gut ich habe ein klein ich habe mehr geschwitzt weder andere leute das stimmt schon aber
d1195-T933,aber ich ich habe es durchhin ich habe es durchgestieren he und das ist
d1195-T934,bei zufrieden gewesen
d1195-T935,bis jetzt
d1195-T936,etwa vor zwanzig
d1195-T937,zwanzig jahren
d1195-T938,habe ich ein ische gelassen in zu schottland oben wo wir da in england gewesen sind
d1195-T939,aber es ist immer noch gegangen ich habe immer noch können laufen bis bis jetzt da der letzte
d1195-T94,also verbrüderungszehnen
d1195-T940,letzte augesten
d1195-T941,hat es plötzlich
d1195-T942,ist nicht mehr recht gegangen
d1195-T943,und da hat mich der doktor wollen in belein tun auf leukerbad zum sanieren wahrscheinlich
d1195-T944,habe ich gesagt ich will lieber einen untersuch einmal im spital oben da
d1195-T945,was eigentlich ist da ich könne habe einfach komischen schmerzen wenn ich
d1195-T946,wenn ich laufen
d1195-T947,und wenn ich sitzen
d1195-T948,ist auch jetzt wenn ich sitzen ist
d1195-T949,wenn ein liegen ist man am wülste
d1195-T950,schmerzmittel habe ich gesagt ja das sind schmerzmittel
d1195-T951,haben mich untersucht wie alles ist untersucht worden alles blut
d1195-T952,schmerzmittel geben
d1195-T953,aber ist
d1195-T954,da habe ich ein magen
d1195-T955,verstimmung übergekommen
d1195-T956,nicht mehr können stellen und schmerzen etwas grausiges
d1195-T957,und wenn mehr als ich dieser aber ist gehabt habe wie verrüichter ist es geworden
d1195-T958,bis ich gesagt habe so jetzt ist fertig die nehme ich nicht mehr
d1195-T959,dann haben sie man noch andere geben der blutdruck ist auch zu hoch
d1195-T96,das hat der deutsche lehrer verzählt
d1195-T960,es ist schon früher schon zu hoch gewesen
d1195-T961,und gut das
d1195-T962,habe ich genommen
d1195-T963,aber drei woche bin ich ich hätte sollen drei tagen
d1195-T964,und habe wieder ein klein müssen laufen es stagelein auf und  nagelle ab das ist
d1195-T965,mehr oder weniger gut gegangen
d1195-T966,und jetzt sind wir da und ist sogar angemeldet und
d1195-T967,wo ich da herhin gekommen bin habe ich bin ich noch nicht auf dem magen noch nicht gut gewesen aber heute
d1195-T968,gewusst ich nehme nicht mehr dann hat er gesagt wenn ich will den blutdruck
d1195-T969,der blutdruck und dann hat er mir noch
d1195-T970,zwei zwei geben
d1195-T971,wo wo wir nichts machen also nichts machen er sagt
d1195-T972,er sagt auch selber es sei jedes medikement den der mangen ein klein belasten
d1195-T973,jedes medikament das können wir nicht darum umhin aber jetzt das zestrin wo ich da haben
d1195-T974,für eine blutdruck das wirkt
d1195-T975,zwei darf ich ja nicht nehmen
d1195-T976,dann hat es mich bald überstellt
d1195-T977,hat man einfach schwindlung werden ich ich weiss nicht was los ist
d1195-T978,und dann hat sie hat sie man kaffee eingeschütten
d1195-T979,das hat dann wieder aufgeklopft oder ist zwar gegen blutdruck aber
d1195-T98,hat er uns verzählt he das ist sehr ein
d1195-T980,ja
d1195-T981,ich hat vielleicht abschliessend noch eine frage
d1195-T982,ja
d1195-T983,eine eine jetzt ist darin
d1195-T984,sie haben am telefon vom general guisan noch verzählt gehabt
d1195-T985,wie
d1195-T986,vom general guisan und vom reduit haben sie am telefon
d1195-T988,er ist für mich heute noch
d1195-T989,der general guisan
d1195-T99,der herr bauer
d1195-T990,der ist für mich eine autorität gewesen und zwar
d1195-T991,was er gemacht hat hat er sehr gut gemacht also ich kann da jetzt nichts also mir mir als leie
d1195-T992,wir alle in der in der in der einheit
d1195-T993,kann hat eine kennen gewusst wo über eine general guisan etwas
d1195-T994,also general guisan
d1195-T995,da lassen wir uns nicht der lassen wir uns nicht lassen nehmen das ist
d1195-T996,das ist etwas anders gewesen wie der willy der wille ist ein klein deutschfreundlich gewesen dann guisan der hat
d1195-T997,hat genau gewusst wie machen
d1195-T998,auch noch wichtig gewesen wenn er auch nicht katholisch gewesen ist ist ja gleich
d1195-T999,hm
